speaker,speaker_party,target,target_type,mentions,speeches,per_1000_words
Magdalena Andersson,S,V,party,6,5,0.1087
Mikael Damberg,S,Jonas Sjöstedt,person,6,5,0.1348
Mona Sahlin,S,Göran Persson,person,6,5,0.1022
Göran Persson,S,Mona Sahlin,person,5,4,0.0287
Håkan Juholt,S,C,party,5,4,0.3061
Håkan Juholt,S,Göran Persson,person,5,4,0.3061
Håkan Juholt,S,Jimmie Åkesson,person,5,4,0.3061
Leif Jakobsson,S,M,party,5,2,3.5261
Lena Sandlin-Hedman,S,M,party,5,1,3.5137
Mikael Damberg,S,Göran Persson,person,5,4,0.1124
Stefan Löfven,S,Fredrik Reinfeldt,person,5,1,0.0474
Stefan Löfven,S,Göran Hägglund,person,5,4,0.0474
Göran Persson,S,Anna Lindh,person,4,3,0.0229
Göran Persson,S,Ingrid Burman,person,4,3,0.0229
Göran Persson I Stjärnhov,S,KD,party,4,3,0.4293
Håkan Juholt,S,SD,party,4,3,0.2449
Magdalena Andersson,S,Simona Mohamsson,person,4,4,0.0725
Mikael Damberg,S,Åsa Romson,person,4,4,0.0899
Mona Sahlin,S,Roger Tiefensee,person,4,2,0.0681
Stefan Löfven,S,Isabella Lövin,person,4,1,0.038
Anna Lindh,S,Lars Ohly,person,3,2,0.9615
Arne Kjörnsberg,S,Carl Fredrik Graf,person,3,3,1.4104
Göran Persson,S,Ingvar Carlsson,person,3,3,0.0172
Göran Persson,S,Mats Odell,person,3,3,0.0172
Göran Persson,S,NYD,party,3,3,0.0172
Göran Persson,S,Ulla Hoffmann,person,3,1,0.0172
Göran Persson I Stjärnhov,S,Lars Ohly,person,3,2,0.322
Göran Persson I Stjärnhov,S,MP,party,3,2,0.322
Håkan Juholt,S,V,party,3,3,0.1837
Ingvar Carlsson,S,Harriet Colliander,person,3,2,0.0798
Lena Sandlin-Hedman,S,Carl Fredrik Graf,person,3,1,2.1082
Lisbeth Staaf-Igelström,S,M,party,3,2,7.4442
Lisbeth Staaf-Igelström,S,Rolf Kenneryd,person,3,1,7.4442
Magdalena Andersson,S,Oscar Sjöstedt,person,3,2,0.0543
Magdalena Andersson,S,Stefan Löfven,person,3,3,0.0543
Mona Sahlin,S,Maria Wetterstrand,person,3,2,0.0511
Stefan Löfven,S,Märta Stenevi,person,3,1,0.0285
Anna Lindh,S,Bo Könberg,person,2,1,0.641
Anna Lindh,S,Lars Tobisson,person,2,1,0.641
Arne Kjörnsberg,S,Carl Erik Hedlund,person,2,1,0.9403
Arne Kjörnsberg,S,Catharina Hagen,person,2,2,0.9403
Berndt Ekholm,S,Johan Pehrson,person,2,2,1.087
Carina Ohlsson,S,M,party,2,1,1.5049
Göran Persson,S,Eva Eriksson,person,2,2,0.0115
Göran Persson,S,Marianne Samuelsson,person,2,1,0.0115
Göran Persson I Stjärnhov,S,Lars Tobisson,person,2,2,0.2147
Göran Persson I Stjärnhov,S,Olof Johansson,person,2,1,0.2147
Göran Persson I Stjärnhov,S,V,party,2,2,0.2147
Håkan Juholt,S,Annie Lööf,person,2,2,0.1224
Håkan Juholt,S,Ingvar Carlsson,person,2,2,0.1224
Håkan Juholt,S,MP,party,2,2,0.1224
Ingvar Carlsson,S,Göran Persson,person,2,2,0.0532
Ingvar Carlsson,S,Marianne Samuelsson,person,2,1,0.0532
Lennart Axelsson,S,M,party,2,2,1.6878
Lisbeth Staaf-Igelström,S,C,party,2,2,4.9628
Magdalena Andersson,S,Elisabeth Thand Ringqvist,person,2,2,0.0362
Magdalena Andersson,S,Henrik Vinge,person,2,2,0.0362
Magdalena Andersson,S,Nooshi Dadgostar,person,2,2,0.0362
Magdalena Andersson,S,Per Bolund,person,2,2,0.0362
Magdalena Andersson,S,Rickard Nordin,person,2,2,0.0362
Mona Sahlin,S,Carl Bildt,person,2,2,0.0341
Per Erik Granström,S,M,party,2,1,1.1086
Ronny Olander,S,Carl-Erik Skårman,person,2,2,1.2626
Stefan Löfven,S,Gustav Fridolin,person,2,2,0.019
Stefan Löfven,S,NYD,party,2,2,0.019
Anna Lindh,S,Marianne Samuelsson,person,1,1,0.3205
Arne Kjörnsberg,S,Lena Sandlin-Hedman,person,1,1,0.4701
Arne Kjörnsberg,S,Lennart Axelsson,person,1,1,0.4701
Arne Kjörnsberg,S,Rolf Kenneryd,person,1,1,0.4701
Arne Kjörnsberg,S,Ulla Wester,person,1,1,0.4701
Bengt-Ola Ryttar,S,Karl-Göran Biörsmark,person,1,1,0.8993
Bengt-Ola Ryttar,S,L,party,1,1,0.8993
Bengt-Ola Ryttar,S,Lars Tobisson,person,1,1,0.8993
Berndt Ekholm,S,Anna Lindh,person,1,1,0.5435
Carina Ohlsson,S,Harald Nordlund,person,1,1,0.7524
Carina Ohlsson,S,MP,party,1,1,0.7524
Göran Persson I Stjärnhov,S,Bo Könberg,person,1,1,0.1073
Göran Persson I Stjärnhov,S,Göran Persson,person,1,1,0.1073
Göran Persson I Stjärnhov,S,Peter Eriksson,person,1,1,0.1073
Göran Persson I Stjärnhov,S,Ronny Olander,person,1,1,0.1073
Göran Persson I Stjärnhov,S,Siw Wittgren-Ahl,person,1,1,0.1073
Håkan Juholt,S,Jonas Sjöstedt,person,1,1,0.0612
Håkan Juholt,S,Lars Ohly,person,1,1,0.0612
Håkan Juholt,S,Maud Olofsson,person,1,1,0.0612
Ingvar Carlsson,S,Bo Könberg,person,1,1,0.0266
Ingvar Carlsson,S,Bo Lundgren,person,1,1,0.0266
Ingvar Carlsson,S,KD,party,1,1,0.0266
Ingvar Carlsson,S,Lars Ohly,person,1,1,0.0266
Leif Jakobsson,S,Ewa Thalén Finné,person,1,1,0.7052
Lennart Axelsson,S,Catharina Hagen,person,1,1,0.8439
