session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,amount_msek,deviation_msek,budget_share_pct,document_id,source_url
2016/17,2017,16,Utbildning och universitetsforskning,GOV,government,72381,0,7.453,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",GOV,government,14521,0,1.4952,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",GOV,government,6765,0,0.6966,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,19,Regional tillväxt,GOV,government,3595,0,0.3702,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,20,Allmän miljö- och naturvård,GOV,government,8404,0,0.8653,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,21,Energi,GOV,government,2877,0,0.2962,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,22,Kommunikationer,GOV,government,55115,0,5.6751,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",GOV,government,17189,0,1.7699,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,24,Näringsliv,GOV,government,6456,0,0.6648,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,25,Allmänna bidrag till kommuner,GOV,government,105555,0,10.8689,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,26,Statsskuldsräntor m.m.,GOV,government,16468,0,1.6957,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,27,Avgiften till Europeiska unionen,GOV,government,29586,0,3.0464,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,1,Rikets styrelse,KD,party_motion,12864,-404,1.357,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,2,Samhällsekonomi och finansförvaltning,KD,party_motion,15089,-170,1.5917,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,3,"Skatt, tull och exekution",KD,party_motion,10939,-47,1.1539,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,4,Rättsväsendet,KD,party_motion,43076,609,4.544,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,5,Internationell samverkan,KD,party_motion,1913,0,0.2018,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,6,Försvar och samhällets krisberedskap,KD,party_motion,50294,40,5.3054,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,7,Internationellt bistånd,KD,party_motion,34990,0,3.691,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,8,Migration,KD,party_motion,34586,2006,3.6484,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
