budget_year,expenditure_area,expenditure_area_name,appropriation_rows,approved_budget_msek,amendments_msek,outturn_msek,source_url
1998,11,Ekonomisk trygghet vid ålderdom,3,62701.0,0.0,62683.99343584,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,12,Ekonomisk trygghet för familjer och barn,7,41733.161,0.0,41658.839342900006,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,13,Integration och jämställdhet,12,8617.627999999999,374.0,8543.447256129999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,14,Arbetsmarknad och arbetsliv,22,75663.902,-4418.876,70747.59866464001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,15,Studiestöd,9,21587.679,22.400000000000006,22258.10894787,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,16,Utbildning och universitetsforskning,110,26813.199000000008,113.13,27414.742304749998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,17,"Kultur, medier, trossamfund och fritid",76,7338.399000000001,0.0,7345.20584801,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",17,15156.803,373.4,14838.77047626,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,19,Regional utveckling,12,3596.91,0.0,3428.4320614300004,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,20,"Klimat, miljö och natur",28,1347.3339999999998,61.75,1535.8477606700003,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,21,Energi,18,1620.002,428.15,905.4368598700001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,22,Kommunikationer,41,23625.047,-2.2000000000000055,26856.82520377,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,23,"Areella näringar, landsbygd och livsmedel",55,13714.817000000001,6.3999999999999995,11825.899301139998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,24,Näringsliv,40,2689.9939999999997,19.85,2788.6134791799996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,25,Allmänna bidrag till kommuner,4,93048.7,4250.0,96784.23599270999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,26,Statsskuldsräntor m.m.,3,109125.0,0.0,113405.22632539002,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,27,Avgiften till Europeiska unionen,4,19645.0,0.0,21209.95027833,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,1,Rikets styrelse,25,7698.164000000001,4.157000000000001,8269.342782150003,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,2,Samhällsekonomi och finansförvaltning,34,9848.332999999997,1.308,9084.9663441,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,3,"Skatt, tull och exekution",4,7120.844999999999,0.0,7299.08016992,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,4,Rättsväsendet,15,20607.024999999998,19.808,20913.05162453,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,5,Internationell samverkan,28,1131.217,0.0,967.6217439499998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,6,Försvar och samhällets krisberedskap,34,44485.32100000001,58.456,44648.35872087,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,7,Internationellt bistånd,6,11899.604,0.0,12418.49290858,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,8,Migration,10,1785.323,255.1,1969.4177383499998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,9,"Hälsovård, sjukvård och social omsorg",39,24004.602,242.0,24510.874258560005,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,10,80503.205,7473.59,88477.09433308999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,11,Ekonomisk trygghet vid ålderdom,5,34315.009,121.0,34450.29223174,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,12,Ekonomisk trygghet för familjer och barn,8,45760.645,461.0,46241.983214609994,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,13,Integration och jämställdhet,13,8687.075,0.0,8927.819160670002,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,14,Arbetsmarknad och arbetsliv,20,67776.61100000002,-158.0,70182.82365799001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,15,Studiestöd,9,22760.641000000003,-30.805999999999997,20017.33145372,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,16,Utbildning och universitetsforskning,111,28733.90399999999,45.806,28823.973196739997,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,17,"Kultur, medier, trossamfund och fritid",66,7455.579000000001,0.5029999999999998,7557.59712921,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",20,12839.43,40.692,10278.31211535,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,19,Regional utveckling,15,2734.857,26.266,3711.4737266099996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1999,20,"Klimat, miljö och natur",29,1617.783,21.15,1735.45355394,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
