session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,proposed_msek,approved_budget_msek,amendments_msek,outturn_msek,outturn_minus_proposal_msek,proposal_source_url,outturn_source_url
2016/17,2017,26,Statsskuldsräntor m.m.,C,party_motion,16468,16467.79,0.0,10568.71727342,-5899.282726580001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,27,Avgiften till Europeiska unionen,C,party_motion,29586,29586.305,0.0,24224.47935722,-5361.52064278,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,1,Rikets styrelse,GOV,government,13268,13592.676,47.2,13654.491512609999,386.4915126099986,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,2,Samhällsekonomi och finansförvaltning,GOV,government,15259,15009.626999999999,25.0,15004.768431769999,-254.23156823000136,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,3,"Skatt, tull och exekution",GOV,government,10986,10985.563999999998,38.0,11011.37116155,25.37116154999967,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,4,Rättsväsendet,GOV,government,42467,42461.197,1408.0,44058.545762689995,1591.5457626899952,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,5,Internationell samverkan,GOV,government,1913,1913.291,250.20000000000002,1953.3613348200001,40.36133482000014,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,6,Försvar och samhällets krisberedskap,GOV,government,50254,50194.967000000004,485.0,50323.41789323999,69.41789323998819,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,7,Internationellt bistånd,GOV,government,34990,34990.005,1784.554,36706.67201382999,1716.6720138299934,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,8,Migration,GOV,government,32580,32580.319,6841.0,40033.513119949996,7453.513119949996,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",GOV,government,68496,68496.16400000002,1948.0,67411.13500985001,-1084.8649901499884,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,GOV,government,107052,107051.80500000001,120.0,101868.16484805,-5183.835151949999,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,GOV,government,34774,34774.450999999994,0.0,34657.67373785,-116.32626215000346,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
