session,budget_year,party,expenditure_area,expenditure_area_name,amount_msek,deviation_msek,budget_share_pct,speech_keyword_occurrences,speech_attention_pct,attention_minus_budget_pp,alignment_correlation,source_url
2017/18,2018,KD,12,Ekonomisk trygghet för familjer och barn,97343,2757,13.2215,0,0.0,-13.2215,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,13,Jämställdhet och nyanlända invandrares etablering,24668,-932,3.3505,0,0.0,-3.3505,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,14,Arbetsmarknad och arbetsliv,65942,-8142,8.9565,1,3.3333,-5.6232,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,15,Studiestöd,20541,-3812,2.79,0,0.0,-2.79,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,16,Utbildning och universitetsforskning,79338,1372,10.776,0,0.0,-10.776,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,17,"Kultur, medier, trossamfund och fritid",15057,-823,2.0451,0,0.0,-2.0451,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,18,"Samhällsplanering, bostadsförsörjning och byggande samt",2815,-4137,0.3823,1,3.3333,2.951,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,19,Regional tillväxt,3309,-613,0.4494,0,0.0,-0.4494,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,20,Allmän miljö- och naturvård,7203,-3570,0.9783,0,0.0,-0.9783,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,21,Energi,2905,-683,0.3946,0,0.0,-0.3946,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,1,Rikets styrelse,14431,-100,2.0215,2,2.9412,0.9197,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,2,Samhällsekonomi och finansförvaltning,15957,-329,2.2352,6,8.8235,6.5883,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,3,"Skatt, tull och exekution",11408,9,1.598,10,14.7059,13.1079,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,4,Rättsväsendet,46715,938,6.5437,1,1.4706,-5.0731,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,5,Internationell samverkan,1945,-64,0.2725,0,0.0,-0.2725,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,6,Försvar och samhällets krisberedskap,53833,-3,7.5408,3,4.4118,-3.129,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,7,Internationellt bistånd,42985,0,6.0212,0,0.0,-6.0212,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,8,Migration,15399,-349,2.1571,1,1.4706,-0.6865,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,9,"Hälsovård, sjukvård och social omsorg",69871,-7825,9.7873,0,0.0,-9.7873,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,10,Ekonomisk trygghet vid sjukdom och,93820,-8795,13.1421,1,1.4706,-11.6715,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,11,Ekonomisk trygghet vid ålderdom,33851,-785,4.7418,0,0.0,-4.7418,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,12,Ekonomisk trygghet för familjer och barn,95059,473,13.3156,0,0.0,-13.3156,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,13,Jämställdhet och nyanlända invandrares etablering,26899,1299,3.7679,7,10.2941,6.5262,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,14,Arbetsmarknad och arbetsliv,62107,-11977,8.6998,7,10.2941,1.5943,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,15,Studiestöd,20434,-3919,2.8623,0,0.0,-2.8623,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,16,Utbildning och universitetsforskning,77323,-643,10.8312,24,35.2941,24.4629,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,17,"Kultur, medier, trossamfund och fritid",15213,-667,2.131,1,1.4706,-0.6604,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,18,"Samhällsplanering, bostadsförsörjning och byggande samt",2873,-4079,0.4024,0,0.0,-0.4024,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,19,Regional tillväxt,3415,-507,0.4784,0,0.0,-0.4784,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,20,Allmän miljö- och naturvård,7665,-3108,1.0737,4,5.8824,4.8087,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,L,21,Energi,2688,-900,0.3765,1,1.4706,1.0941,0.2263,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,1,Rikets styrelse,14360,-171,2.0026,0,0.0,-2.0026,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,2,Samhällsekonomi och finansförvaltning,16185,-101,2.2571,1,2.9412,0.6841,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,3,"Skatt, tull och exekution",11444,45,1.5959,3,8.8235,7.2276,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,4,Rättsväsendet,46138,361,6.4342,3,8.8235,2.3893,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,5,Internationell samverkan,2009,0,0.2802,0,0.0,-0.2802,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,6,Försvar och samhällets krisberedskap,53836,0,7.5077,1,2.9412,-4.5665,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,7,Internationellt bistånd,39562,-3423,5.5171,0,0.0,-5.5171,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,8,Migration,15172,-576,2.1158,5,14.7059,12.5901,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,9,"Hälsovård, sjukvård och social omsorg",76239,-1457,10.6319,3,8.8235,-1.8084,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,10,Ekonomisk trygghet vid sjukdom och,93213,-9402,12.9991,0,0.0,-12.9991,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,11,Ekonomisk trygghet vid ålderdom,34236,-400,4.7744,3,8.8235,4.0491,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,12,Ekonomisk trygghet för familjer och barn,94302,-284,13.1509,0,0.0,-13.1509,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,13,Jämställdhet och nyanlända invandrares etablering,25245,-355,3.5206,8,23.5294,20.0088,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,14,Arbetsmarknad och arbetsliv,65571,-8513,9.1442,0,0.0,-9.1442,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,15,Studiestöd,22916,-1437,3.1958,0,0.0,-3.1958,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,16,Utbildning och universitetsforskning,75373,-2593,10.5112,5,14.7059,4.1947,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,17,"Kultur, medier, trossamfund och fritid",14658,-1222,2.0441,0,0.0,-2.0441,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,18,"Samhällsplanering, bostadsförsörjning och byggande samt",2897,-4055,0.404,0,0.0,-0.404,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,19,Regional tillväxt,3880,-42,0.5411,0,0.0,-0.5411,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,20,Allmän miljö- och naturvård,7486,-3287,1.044,1,2.9412,1.8972,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,M,21,Energi,2353,-1235,0.3281,1,2.9412,2.6131,0.0568,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,1,Rikets styrelse,13895,-636,2.0118,0,0.0,-2.0118,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,3,"Skatt, tull och exekution",11753,354,1.7016,4,15.3846,13.683,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,4,Rättsväsendet,45779,2,6.628,2,7.6923,1.0643,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,5,Internationell samverkan,2010,1,0.291,0,0.0,-0.291,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,6,Försvar och samhällets krisberedskap,53840,4,7.7951,0,0.0,-7.7951,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,7,Internationellt bistånd,43235,250,6.2597,0,0.0,-6.2597,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,8,Migration,9951,-5797,1.4407,2,7.6923,6.2516,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,9,"Hälsovård, sjukvård och social omsorg",77699,3,11.2495,8,30.7692,19.5197,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,10,Ekonomisk trygghet vid sjukdom och,102617,2,14.8572,0,0.0,-14.8572,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,11,Ekonomisk trygghet vid ålderdom,34640,4,5.0153,5,19.2308,14.2155,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,12,Ekonomisk trygghet för familjer och barn,91365,-3221,13.2281,0,0.0,-13.2281,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,13,Jämställdhet och nyanlända invandrares etablering,10151,-15449,1.4697,1,3.8462,2.3765,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,14,Arbetsmarknad och arbetsliv,63575,-10509,9.2046,2,7.6923,-1.5123,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,15,Studiestöd,23778,-575,3.4426,0,0.0,-3.4426,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,16,Utbildning och universitetsforskning,78434,468,11.3559,1,3.8462,-7.5097,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,17,"Kultur, medier, trossamfund och fritid",15350,-530,2.2224,0,0.0,-2.2224,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,18,"Samhällsplanering, bostadsförsörjning och byggande samt",2602,-4350,0.3767,1,3.8462,3.4695,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,20,Allmän miljö- och naturvård,7333,-3440,1.0617,0,0.0,-1.0617,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,SD,21,Energi,2683,-905,0.3885,0,0.0,-0.3885,0.1766,https://data.riksdagen.se/dokument/H501FiU1.html
2018/19,2019,C,1,Rikets styrelse,14912,10,1.7749,5,7.6923,5.9174,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,2,Samhällsekonomi och finansförvaltning,17191,-124,2.0461,0,0.0,-2.0461,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,3,"Skatt, tull och exekution",11413,10,1.3584,3,4.6154,3.257,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,4,Rättsväsendet,47112,769,5.6074,0,0.0,-5.6074,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,5,Internationell samverkan,2382,20,0.2835,0,0.0,-0.2835,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,6,Försvar och samhällets krisberedskap,56692,501,6.7477,5,7.6923,0.9446,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,7,Internationellt bistånd,44945,0,5.3495,0,0.0,-5.3495,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,8,Migration,12303,-1270,1.4643,0,0.0,-1.4643,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,9,"Hälsovård, sjukvård och social omsorg",78422,300,9.3341,5,7.6923,-1.6418,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,97073,-584,11.554,0,0.0,-11.554,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,11,Ekonomisk trygghet vid ålderdom,34050,-400,4.0528,0,0.0,-4.0528,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,12,Ekonomisk trygghet för familjer och barn,97339,7,11.5857,0,0.0,-11.5857,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,13,Jämställdhet och nyanlända invandrares etablering,18486,0,2.2003,1,1.5385,-0.6618,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,14,Arbetsmarknad och arbetsliv,74802,-2013,8.9032,0,0.0,-8.9032,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,15,Studiestöd,24603,-420,2.9283,0,0.0,-2.9283,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,16,Utbildning och universitetsforskning,80667,-680,9.6013,6,9.2308,-0.3705,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,17,"Kultur, medier, trossamfund och fritid",15995,0,1.9038,1,1.5385,-0.3653,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",3597,-3375,0.4281,1,1.5385,1.1104,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,19,Regional tillväxt,3497,0,0.4162,1,1.5385,1.1223,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,20,Allmän miljö- och naturvård,12536,700,1.4921,15,23.0769,21.5848,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,21,Energi,3595,0,0.4279,0,0.0,-0.4279,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,22,Kommunikationer,59457,0,7.0768,0,0.0,-7.0768,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,23,"Areella näringar, landsbygd och livsmedel",21832,2045,2.5985,2,3.0769,0.4784,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,C,24,Näringsliv,7267,0,0.8649,20,30.7692,29.9043,-0.1629,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,1,Rikets styrelse,14831,-71,1.7531,1,2.8571,1.104,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,2,Samhällsekonomi och finansförvaltning,17182,-133,2.0309,0,0.0,-2.0309,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,3,"Skatt, tull och exekution",11563,160,1.3668,8,22.8571,21.4903,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,4,Rättsväsendet,48443,2100,5.726,0,0.0,-5.726,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,5,Internationell samverkan,2362,0,0.2792,0,0.0,-0.2792,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,6,Försvar och samhällets krisberedskap,59675,3484,7.0537,0,0.0,-7.0537,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,7,Internationellt bistånd,44954,9,5.3136,0,0.0,-5.3136,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,8,Migration,12643,-930,1.4944,0,0.0,-1.4944,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,9,"Hälsovård, sjukvård och social omsorg",87998,9876,10.4015,11,31.4286,21.0271,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,96863,-794,11.4494,1,2.8571,-8.5923,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,11,Ekonomisk trygghet vid ålderdom,36591,2141,4.3251,1,2.8571,-1.468,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,12,Ekonomisk trygghet för familjer och barn,100210,2878,11.845,0,0.0,-11.845,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,13,Jämställdhet och nyanlända invandrares etablering,17309,-1177,2.046,0,0.0,-2.046,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,14,Arbetsmarknad och arbetsliv,69184,-7631,8.1777,1,2.8571,-5.3206,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,15,Studiestöd,21606,-3417,2.5539,0,0.0,-2.5539,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,16,Utbildning och universitetsforskning,83090,1743,9.8214,2,5.7143,-4.1071,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,17,"Kultur, medier, trossamfund och fritid",15123,-872,1.7876,0,0.0,-1.7876,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",4584,-2388,0.5418,2,5.7143,5.1725,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,19,Regional tillväxt,3497,0,0.4134,0,0.0,-0.4134,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,20,Allmän miljö- och naturvård,8906,-2930,1.0527,2,5.7143,4.6616,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,21,Energi,3405,-190,0.4025,6,17.1429,16.7404,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,22,Kommunikationer,59298,-159,7.0091,0,0.0,-7.0091,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,23,"Areella näringar, landsbygd och livsmedel",20220,433,2.39,0,0.0,-2.39,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,KD,24,Näringsliv,6474,-793,0.7652,0,0.0,-0.7652,0.1215,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,1,Rikets styrelse,14780,-122,1.7799,8,33.3333,31.5534,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,2,Samhällsekonomi och finansförvaltning,17141,-174,2.0642,0,0.0,-2.0642,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,3,"Skatt, tull och exekution",11525,122,1.3879,3,12.5,11.1121,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,4,Rättsväsendet,48243,1900,5.8097,0,0.0,-5.8097,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,5,Internationell samverkan,2317,-45,0.279,0,0.0,-0.279,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,6,Försvar och samhällets krisberedskap,57296,1105,6.8999,0,0.0,-6.8999,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,7,Internationellt bistånd,44945,0,5.4125,0,0.0,-5.4125,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,8,Migration,13460,-113,1.6209,0,0.0,-1.6209,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,9,"Hälsovård, sjukvård och social omsorg",82111,3989,9.8883,0,0.0,-9.8883,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,91738,-5919,11.0476,0,0.0,-11.0476,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,11,Ekonomisk trygghet vid ålderdom,34349,-101,4.1365,1,4.1667,0.0302,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,12,Ekonomisk trygghet för familjer och barn,97363,31,11.725,0,0.0,-11.725,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,13,Jämställdhet och nyanlända invandrares etablering,18229,-257,2.1952,0,0.0,-2.1952,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,14,Arbetsmarknad och arbetsliv,67613,-9202,8.1423,0,0.0,-8.1423,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,15,Studiestöd,24247,-776,2.92,0,0.0,-2.92,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,16,Utbildning och universitetsforskning,84195,2848,10.1392,0,0.0,-10.1392,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,17,"Kultur, medier, trossamfund och fritid",16382,387,1.9728,0,0.0,-1.9728,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",3626,-3346,0.4367,0,0.0,-0.4367,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,19,Regional tillväxt,3422,-75,0.4121,0,0.0,-0.4121,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,20,Allmän miljö- och naturvård,9803,-2033,1.1805,2,8.3333,7.1528,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,21,Energi,2616,-979,0.315,3,12.5,12.185,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,22,Kommunikationer,58698,-759,7.0688,0,0.0,-7.0688,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,23,"Areella näringar, landsbygd och livsmedel",19364,-423,2.3319,0,0.0,-2.3319,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,L,24,Näringsliv,6924,-343,0.8338,7,29.1667,28.3329,-0.3582,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,1,Rikets styrelse,14745,-157,1.7527,1,1.9231,0.1704,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,2,Samhällsekonomi och finansförvaltning,17319,4,2.0586,0,0.0,-2.0586,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,3,"Skatt, tull och exekution",11553,150,1.3732,2,3.8462,2.473,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,4,Rättsväsendet,48587,2244,5.7752,2,3.8462,-1.929,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,5,Internationell samverkan,2362,0,0.2808,0,0.0,-0.2808,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,6,Försvar och samhällets krisberedskap,60090,3899,7.1425,5,9.6154,2.4729,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,7,Internationellt bistånd,43745,-1200,5.1997,0,0.0,-5.1997,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,8,Migration,11767,-1806,1.3987,8,15.3846,13.9859,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,9,"Hälsovård, sjukvård och social omsorg",79072,950,9.3988,0,0.0,-9.3988,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,97657,0,11.6079,2,3.8462,-7.7617,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,11,Ekonomisk trygghet vid ålderdom,34450,0,4.0949,0,0.0,-4.0949,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,12,Ekonomisk trygghet för familjer och barn,97332,0,11.5693,0,0.0,-11.5693,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,13,Jämställdhet och nyanlända invandrares etablering,17967,-519,2.1356,5,9.6154,7.4798,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,14,Arbetsmarknad och arbetsliv,73915,-2900,8.7858,3,5.7692,-3.0166,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,15,Studiestöd,24669,-354,2.9323,0,0.0,-2.9323,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,16,Utbildning och universitetsforskning,81059,-288,9.635,2,3.8462,-5.7888,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,17,"Kultur, medier, trossamfund och fritid",15767,-228,1.8741,0,0.0,-1.8741,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",4727,-2245,0.5619,0,0.0,-0.5619,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,19,Regional tillväxt,3497,0,0.4157,1,1.9231,1.5074,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,20,Allmän miljö- och naturvård,10072,-1764,1.1972,1,1.9231,0.7259,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,21,Energi,3199,-396,0.3802,14,26.9231,26.5429,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,22,Kommunikationer,59359,-98,7.0557,1,1.9231,-5.1326,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,23,"Areella näringar, landsbygd och livsmedel",21000,1213,2.4961,0,0.0,-2.4961,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,M,24,Näringsliv,7387,120,0.878,5,9.6154,8.7374,-0.1952,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,SD,1,Rikets styrelse,14372,-530,1.7153,4,13.3333,11.618,-0.1018,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,SD,2,Samhällsekonomi och finansförvaltning,17792,477,2.1235,0,0.0,-2.1235,-0.1018,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,SD,3,"Skatt, tull och exekution",11953,550,1.4266,2,6.6667,5.2401,-0.1018,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,SD,4,Rättsväsendet,46347,4,5.5315,0,0.0,-5.5315,-0.1018,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,SD,6,Försvar och samhällets krisberedskap,56198,7,6.7073,2,6.6667,-0.0406,-0.1018,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,SD,7,Internationellt bistånd,33672,-11273,4.0188,0,0.0,-4.0188,-0.1018,https://data.riksdagen.se/dokument/H601FiU1.html
2018/19,2019,SD,8,Migration,13010,-563,1.5528,7,23.3333,21.7805,-0.1018,https://data.riksdagen.se/dokument/H601FiU1.html
