speaker,speaker_party,target,target_type,mentions,speeches,per_1000_words
Alf Svensson,KD,Ingrid Burman,person,2,1,0.0202
Alf Svensson,KD,Lars Ohly,person,2,2,0.0202
Alf Svensson,KD,Mats Odell,person,2,2,0.0202
Alf Svensson,KD,Maud Olofsson,person,2,2,0.0202
Andreas Carlson,KD,M,party,2,2,0.0953
Camilla Brodin,KD,Muharrem Demirok,person,2,2,1.0251
Ebba Busch,KD,Göran Persson,person,2,2,0.035
Ebba Busch,KD,Jan Björklund,person,2,2,0.035
Ebba Busch,KD,Jimmie Åkesson,person,2,2,0.035
Ebba Busch Thor,KD,Anders W Jonsson,person,2,2,0.1198
Ebba Busch Thor,KD,Jimmie Åkesson,person,2,2,0.1198
Ebba Busch Thor,KD,Magdalena Andersson,person,2,2,0.1198
Göran Hägglund,KD,Mattias Karlsson,person,2,1,0.0186
Margareta Viklund,KD,Göran Persson,person,2,1,1.8018
Mats Odell,KD,Gudrun Schyman,person,2,1,0.4196
Mats Odell,KD,S,party,2,2,0.4196
Alf Svensson,KD,Bengt Westerberg,person,1,1,0.0101
Alf Svensson,KD,Göran Hägglund,person,1,1,0.0101
Alf Svensson,KD,Johan Lönnroth,person,1,1,0.0101
Alf Svensson,KD,Matz Hammarström,person,1,1,0.0101
Andreas Carlson,KD,Göran Hägglund,person,1,1,0.0477
Andreas Carlson,KD,Jan Björklund,person,1,1,0.0477
Andreas Carlson,KD,L,party,1,1,0.0477
Camilla Brodin,KD,Daniel Helldén,person,1,1,0.5126
Camilla Brodin,KD,MP,party,1,1,0.5126
Camilla Brodin,KD,Olof Johansson,person,1,1,0.5126
Ebba Busch,KD,Anders W Jonsson,person,1,1,0.0175
Ebba Busch,KD,Anna Kinberg Batra,person,1,1,0.0175
Ebba Busch,KD,Elisabeth Thand Ringqvist,person,1,1,0.0175
Ebba Busch,KD,Jakob Forssmed,person,1,1,0.0175
Ebba Busch,KD,Märta Stenevi,person,1,1,0.0175
Ebba Busch Thor,KD,Gustav Fridolin,person,1,1,0.0599
Ebba Busch Thor,KD,Göran Hägglund,person,1,1,0.0599
